Tahun ,PDB Triwulan , Pengeluaran Konsumsi Rumahtangga," Makanan dan Minuman, Selain Restoran"," Pakaian, Alas Kaki dan Jasa Perawatannya", Perumahan dan Perlengkapan Rumahtangga, Kesehatan dan Pendidikan, Transportasi dan Komunikasi, Restoran dan Hotel, Lainnya, Pengeluaran Konsumsi LNPRT, Pengeluaran Konsumsi Pemerintah, Konsumsi Kolektif, Konsumsi Individu, Pembentukan Modal Tetap Domestik Bruto, Bangunan, Mesin dan Perlengkapan, Kendaraan, Peralatan Lainnya, CBR, Produk Kekayaan Intelektual, Perubahan Inventori, Ekspor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa, Dikurangi Impor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa,#VALUE!, PRODUK DOMESTIK BRUTO
2015,Triwulan IV,1244994.55,451111.44,50248.86,170290.36,85876.21,307285.39,116792.22,63390.07,25871.92,272067.59,167276.5,104791.1,767265.46,580565.71,77707.3,38097.3,12010.92,40779.1,18105.13,-57612.55,497025.53,442617.79,373771.79,68846,54407.74,474431.48,405269.83,323713.62,81556.21,69161.65,-2251.82,2272929.2
2016,Triwulan IV,1306974.15,475124.06,51898.67,177889.51,90443.94,323758.05,122991.18,64868.75,27617.86,261118.79,161809.23,99309.56,804045.44,604203.97,76244.02,48529.91,14020.96,42511.11,18535.47,-36660.03,516392.97,459434.69,401387.82,58046.87,56958.28,487451.47,415662.65,337436.4,78226.25,71788.83,-6850.91,2385186.8
2017,Triwulan IV,1372141.03,500419.79,54053.19,185914.7,95437.7,340511.95,129539.42,66264.3,29071,271019.76,169058.61,101961.14,862454.52,644578.09,93248.7,47196.71,15162.61,44151.73,18116.68,-36742.61,560223.69,503861.65,439582.15,64279.5,56362.05,545289.75,470092.86,381795.2,88297.66,75196.89,-3905.74,2508971.9
2018,Triwulan IV,1441847.77,525883.05,56281.82,194308.94,99945.14,360556.51,136994.07,67878.25,32232.61,283540.11,178086.39,105453.73,915377.24,676917.13,105307.86,50299.61,15291.38,47979.88,19581.37,1646.41,586164.85,526034.04,468172.3,57861.74,60130.81,585494.45,508352.5,421344.64,87007.85,77141.96,-36344.94,2638969.6
2019,Triwulan IV,1513468.49,552602.57,58383.42,203922.14,107293.81,376325.65,145450.15,69490.74,33370.36,284959.13,178440.02,106519.11,952695.51,714321.39,102294.38,50123.26,15162.73,52084.23,18709.51,-26458.87,582571.09,520066.41,472112.95,47953.47,62504.68,538061.27,459340.07,383718.32,75621.75,78721.2,-32796.33,2769748.1
2020,Triwulan IV,1458791.35,544933.79,55994.56,205384.31,107985.05,340751.77,134865.28,68876.6,32730.64,290446.83,180428.65,110018.18,893959.37,666934.64,94564.68,46852.88,14591.29,53877.44,17138.43,-57708,539180.83,510444.73,460408.35,50036.39,28736.1,443131.82,394451.4,338841.02,55610.37,48680.43,-4547.49,2709721.7
2021,Triwulan IV,1510661.62,562691.82,56676.67,211721.82,111211.91,358853.62,138675.62,70830.15,33777.13,305653.59,181053.81,124599.79,934095.81,683465.53,107289.26,48550.56,15093.08,59242.2,20455.18,-62721.4,659107.76,625968.46,572468.36,53500.1,33139.3,587634.42,529295.65,453624.57,75671.08,58338.77,53116.8,2846056.9
2022,Triwulan IV,1578599.51,582008.72,57870.85,216735.56,113762.41,387764.48,147546.36,72911.12,35708.6,291227.74,182257.05,108970.69,965190.6,684215.9,126990.82,56843.9,14691.94,59400.25,23047.78,-58692.95,757674.39,704340.36,651613.95,52726.41,53334.03,625773.14,546885.25,461911.7,84973.55,78887.89,44614.15,2988548.9
2023,Triwulan IV,1649237.89,596935.03,59887.81,227251.29,117923.54,415834.62,156916.87,74488.72,42175.96,299421.62,192861.07,106560.56,1013619.7,728139.62,129534.39,58663.56,14757.64,58535.35,23989.14,-16681.21,770067.7,707183.82,647833.63,59350.19,62883.88,624845.95,545096.37,452883.5,92212.86,79749.58,6088.76,3139084.5
2024,Triwulan IV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,Tahunan,3786062.9,1457599.41,154222.23,516319.76,255276.89,894897.67,337157.88,170589.07,72758.87,618177.99,381063.49,237114.5,2127840.68,1580435.01,220377.75,123094.83,30761.07,125663.44,47508.58,129094.6,1667917.83,1520294.97,1266970.72,253324.25,147622.86,1537719.77,1280688.56,1021879.49,258809.07,257031.21,0,6864133.1
2011,Tahunan,3977288.56,1489545.17,162350.14,543181.14,268833.74,953673.88,355868.48,203836.01,76790.34,652291.7,407985.18,244306.51,2316359.1,1675388.66,273416.33,143012.24,34347.73,139608.7,50585.44,118207.33,1914267.94,1746663.39,1442177.06,304486.33,167604.55,1768821.87,1495887.83,1203514.53,292373.31,272934.04,1252.2,7287635.3
